"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"BAROIN","François","UMP","Union pour un Mouvement Populaire","H","Aube","francois-baroin","http://www.senat.fr/senateur/baroin_francois05004a.html"
"BAS","Philippe","UMP","Union pour un Mouvement Populaire","H","Manche","philippe-bas","http://www.senat.fr/senateur/bas_philippe05008e.html"
"BATAILLE","Delphine","SOC","Parti socialiste","F","Nord","delphine-bataille","http://www.senat.fr/senateur/bataille_delphine11036j.html"
"BEAUFILS","Marie-France","CRC","Parti communiste Français","F","Indre-et-Loire","marie-france-beaufils","http://www.senat.fr/senateur/beaufils_marie_france01013j.html"
"BÉCHU","Christophe","UMP","Union pour un Mouvement Populaire","H","Maine-et-Loire","christophe-bechu","http://www.senat.fr/senateur/bechu_christophe11030c.html"
"BENBASSA","Esther","Écologiste","Europe Écologie Les Verts","F","Val-de-Marne","esther-benbassa","http://www.senat.fr/senateur/benbassa_esther11033f.html"
"BÉRIT-DÉBAT","Claude","SOC","Parti socialiste","H","Dordogne","claude-berit-debat","http://www.senat.fr/senateur/berit_debat_claude08055a.html"
"BERSON","Michel","SOC","Non rattaché","H","Essonne","michel-berson","http://www.senat.fr/senateur/berson_michel11068s.html"
"BERTRAND","Alain","RDSE","Parti socialiste","H","Lozère","alain-bertrand","http://www.senat.fr/senateur/bertrand_alain11081p.html"
"BIGNON","Jérôme","UMP","Union pour un Mouvement Populaire","H","Somme","jerome-bignon","http://www.senat.fr/senateur/bignon_jerome14093u.html"
"BIGOT","Jacques","SOC","Parti socialiste","H","Bas-Rhin","jacques-bigot","http://www.senat.fr/senateur/bigot_jacques14065q.html"
"BILLON","Annick","UDI-UC","Association PSLE - Nouveau Centre","F","Vendée","annick-billon","http://www.senat.fr/senateur/billon_annick14030q.html"
"BILLOUT","Michel","CRC","Parti communiste Français","H","Seine-et-Marne","michel-billout","http://www.senat.fr/senateur/billout_michel04054g.html"
"BIZET","Jean","UMP","Union pour un Mouvement Populaire","H","Manche","jean-bizet","http://www.senat.fr/senateur/bizet_jean96004d.html"
"BLANDIN","Marie-Christine","Écologiste","Europe Écologie Les Verts","F","Nord","marie-christine-blandin","http://www.senat.fr/senateur/blandin_marie_christine01044r.html"
"BLONDIN","Maryvonne","SOC","Parti socialiste","F","Finistère","maryvonne-blondin","http://www.senat.fr/senateur/blondin_maryvonne08043v.html"
"BOCKEL","Jean-Marie","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Haut-Rhin","jean-marie-bockel","http://www.senat.fr/senateur/bockel_jean_marie04040a.html"
"BOCQUET","Éric","CRC","Parti communiste Français","H","Nord","eric-bocquet","http://www.senat.fr/senateur/bocquet_eric11040e.html"
"BONHOMME","François","UMP","Union pour un Mouvement Populaire","H","Tarn-et-Garonne","francois-bonhomme","http://www.senat.fr/senateur/bonhomme_francois14069u.html"
"BONNECARRERE","Philippe","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Tarn","philippe-bonnecarrere","http://www.senat.fr/senateur/bonnecarrere_philippe14089y.html"
"BONNEFOY","Nicole","SOC","Parti socialiste","F","Charente","nicole-bonnefoy","http://www.senat.fr/senateur/bonnefoy_nicole08060w.html"
"BOSINO","Jean-Pierre","CRC","Parti communiste Français","H","Oise","jean-pierre-bosino","http://www.senat.fr/senateur/bosino_jean_pierre14013p.html"
"BOTREL","Yannick","SOC","Parti socialiste","H","Côtes-d'Armor","yannick-botrel","http://www.senat.fr/senateur/botrel_yannick08014q.html"
"BOUCHART","Natacha","UMP","Union pour un Mouvement Populaire","F","Pas-de-Calais","natacha-bouchart","http://www.senat.fr/senateur/bouchart_natacha11060j.html"
"BOUCHET","Gilbert","UMP","Union pour un Mouvement Populaire","H","Drôme","gilbert-bouchet","http://www.senat.fr/senateur/bouchet_gilbert14105f.html"
"BOUCHOUX","Corinne","Écologiste","Europe Écologie Les Verts","F","Maine-et-Loire","corinne-bouchoux","http://www.senat.fr/senateur/bouchoux_corinne11029k.html"
"BOULARD","Jean-Claude","SOC","Parti socialiste","H","Sarthe","jean-claude-boulard","http://www.senat.fr/senateur/boulard_jean_claude14167v.html"
"BOURQUIN","Martial","SOC","Parti socialiste","H","Doubs","martial-bourquin","http://www.senat.fr/senateur/bourquin_martial08068f.html"
"BOUTANT","Michel","SOC","Parti socialiste","H","Charente","michel-boutant","http://www.senat.fr/senateur/boutant_michel08058d.html"
"BOUVARD","Michel","UMP","Union pour un Mouvement Populaire","H","Savoie","michel-bouvard","http://www.senat.fr/senateur/bouvard_michel14175v.html"
"BRICQ","Nicole","SOC","Parti socialiste","F","Seine-et-Marne","nicole-bricq","http://www.senat.fr/senateur/bricq_nicole04053f.html"
"BUFFET","François-Noël","UMP","Union pour un Mouvement Populaire","H","Rhône","francois-noel-buffet","http://www.senat.fr/senateur/buffet_francois_noel04047h.html"
"CABANEL","Henri","SOC","Parti socialiste","H","Hérault","henri-cabanel","http://www.senat.fr/senateur/cabanel_henri14207l.html"
"CADIC","Olivier","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Français établis hors de France","olivier-cadic","http://www.senat.fr/senateur/cadic_olivier14255u.html"
"CAFFET","Jean-Pierre","SOC","Parti socialiste","H","Paris","jean-pierre-caffet","http://www.senat.fr/senateur/caffet_jean_pierre04066l.html"
"CALVET","François","UMP","Union pour un Mouvement Populaire","H","Pyrénées-Orientales","francois-calvet","http://www.senat.fr/senateur/calvet_francois11101a.html"
"CAMANI","Pierre","SOC","Parti socialiste","H","Lot-et-Garonne","pierre-camani","http://www.senat.fr/senateur/camani_pierre11095v.html"
"CAMBON","Christian","UMP","Union pour un Mouvement Populaire","H","Val-de-Marne","christian-cambon","http://www.senat.fr/senateur/cambon_christian04042c.html"
"CAMPION","Claire-Lise","SOC","Parti socialiste","F","Essonne","claire-lise-campion","http://www.senat.fr/senateur/campion_claire_lise00003c.html"
"CANAYER","Agnès","UMP","Union pour un Mouvement Populaire","F","Seine-Maritime","agnes-canayer","http://www.senat.fr/senateur/canayer_agnes14053l.html"
"CANEVET","Michel","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Finistère","michel-canevet","http://www.senat.fr/senateur/canevet_michel14083s.html"
"CANTEGRIT","Jean-Pierre","UMP","Union pour un Mouvement Populaire","H","Français établis hors de France","jean-pierre-cantegrit","http://www.senat.fr/senateur/cantegrit_jean_pierre77002u.html"
"CAPO-CANELLAS","Vincent","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Seine-Saint-Denis","vincent-capo-canellas","http://www.senat.fr/senateur/capo_canellas_vincent11053k.html"
"CARCENAC","Thierry","SOC","Parti socialiste","H","Tarn","thierry-carcenac","http://www.senat.fr/senateur/carcenac_thierry14085u.html"
"CARDOUX","Jean-Noël","UMP","Union pour un Mouvement Populaire","H","Loiret","jean-noel-cardoux","http://www.senat.fr/senateur/cardoux_jean_noel11103c.html"
"CARLE","Jean-Claude","UMP","Union pour un Mouvement Populaire","H","Haute-Savoie","jean-claude-carle","http://www.senat.fr/senateur/carle_jean_claude95015c.html"
"CARRÈRE","Jean-Louis","SOC","Parti socialiste","H","Landes","jean-louis-carrere","http://www.senat.fr/senateur/carrere_jean_louis92015p.html"
"CARTRON","Françoise","SOC","Parti socialiste","F","Gironde","francoise-cartron","http://www.senat.fr/senateur/cartron_francoise08024s.html"
"CARVOUNAS","Luc","SOC","Parti socialiste","H","Val-de-Marne","luc-carvounas","http://www.senat.fr/senateur/carvounas_luc11032e.html"
"CASTELLI","Joseph","RDSE","Parti radical de gauche","H","Haute-Corse","joseph-castelli","http://www.senat.fr/senateur/castelli_joseph14201e.html"
"CAYEUX","Caroline","UMP","Union pour un Mouvement Populaire","F","Oise","caroline-cayeux","http://www.senat.fr/senateur/cayeux_caroline11044j.html"
"CAZEAU","Bernard","SOC","Parti socialiste","H","Dordogne","bernard-cazeau","http://www.senat.fr/senateur/cazeau_bernard98029w.html"
"CÉSAR","Gérard","UMP","Union pour un Mouvement Populaire","H","Gironde","gerard-cesar","http://www.senat.fr/senateur/cesar_gerard90003b.html"
"CHAIZE","Patrick","UMP","Union pour un Mouvement Populaire","H","Ain","patrick-chaize","http://www.senat.fr/senateur/chaize_patrick14038y.html"
"CHARON","Pierre","UMP","Union pour un Mouvement Populaire","H","Paris","pierre-charon","http://www.senat.fr/senateur/charon_pierre11080n.html"
"CHASSEING","Daniel","UMP","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Corrèze","daniel-chasseing","http://www.senat.fr/senateur/chasseing_daniel14195a.html"
"CHATILLON","Alain","UMP","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Haute-Garonne","alain-chatillon","http://www.senat.fr/senateur/chatillon_alain08028w.html"
"CHIRON","Jacques","SOC","Parti socialiste","H","Isère","jacques-chiron","http://www.senat.fr/senateur/chiron_jacques11042g.html"
"CLAIREAUX","Karine","SOC","Parti socialiste","F","Saint-Pierre-et-Miquelon","karine-claireaux","http://www.senat.fr/senateur/claireaux_karine11023d.html"
"COHEN","Laurence","CRC","Parti communiste Français","F","Val-de-Marne","laurence-cohen","http://www.senat.fr/senateur/cohen_laurence11031d.html"
"COLLIN","Yvon","RDSE","Parti radical de gauche","H","Tarn-et-Garonne","yvon-collin","http://www.senat.fr/senateur/collin_yvon88008l.html"
"COLLOMB","Gérard","SOC","Parti socialiste","H","Rhône","gerard-collomb","http://www.senat.fr/senateur/collomb_gerard99002p.html"
"COLLOMBAT","Pierre-Yves","RDSE","Parti radical de gauche","H","Var","pierre-yves-collombat","http://www.senat.fr/senateur/collombat_pierre_yves04038g.html"
"COMMEINHES","François","UMP","Union pour un Mouvement Populaire","H","Hérault","francois-commeinhes","http://www.senat.fr/senateur/commeinhes_francois14209n.html"
"CONWAY-MOURET","Hélène","SOC","Parti socialiste","F","Français établis hors de France","helene-conway-mouret","http://www.senat.fr/senateur/conway_mouret_helene11027h.html"
"CORNANO","Jacques","SOC","Parti socialiste","H","Guadeloupe","jacques-cornano","http://www.senat.fr/senateur/cornano_jacques11114f.html"
"CORNU","Gérard","UMP","Union pour un Mouvement Populaire","H","Eure-et-Loir","gerard-cornu","http://www.senat.fr/senateur/cornu_gerard98023q.html"
"COURTEAU","Roland","SOC","Parti socialiste","H","Aude","roland-courteau","http://www.senat.fr/senateur/courteau_roland80013x.html"
"COURTOIS","Jean-Patrick","UMP","Union pour un Mouvement Populaire","H","Saône-et-Loire","jean-patrick-courtois","http://www.senat.fr/senateur/courtois_jean_patrick95020y.html"
"CUKIERMAN","Cécile","CRC","Parti communiste Français","F","Loire","cecile-cukierman","http://www.senat.fr/senateur/cukierman_cecile11056n.html"
"DALLIER","Philippe","UMP","Union pour un Mouvement Populaire","H","Seine-Saint-Denis","philippe-dallier","http://www.senat.fr/senateur/dallier_philippe04086q.html"
"DANESI","René","UMP","Union pour un Mouvement Populaire","H","Haut-Rhin","rene-danesi","http://www.senat.fr/senateur/danesi_rene14079w.html"
"DANTEC","Ronan","Écologiste","Europe Écologie Les Verts","H","Loire-Atlantique","ronan-dantec","http://www.senat.fr/senateur/dantec_ronan11065p.html"
"DARNAUD","Mathieu","UMP","Union pour un Mouvement Populaire","H","Ardèche","mathieu-darnaud","http://www.senat.fr/senateur/darnaud_mathieu14259y.html"
"DASSAULT","Serge","UMP","Union pour un Mouvement Populaire","H","Essonne","serge-dassault","http://www.senat.fr/senateur/dassault_serge04055h.html"
"DAUDIGNY","Yves","SOC","Parti socialiste","H","Aisne","yves-daudigny","http://www.senat.fr/senateur/daudigny_yves08052w.html"
"DAUNIS","Marc","SOC","Parti socialiste","H","Alpes-Maritimes","marc-daunis","http://www.senat.fr/senateur/daunis_marc08038y.html"
"DAVID","Annie","CRC","Parti communiste Français","F","Isère","annie-david","http://www.senat.fr/senateur/david_annie01059y.html"
"DEBRÉ","Isabelle","UMP","Union pour un Mouvement Populaire","F","Hauts-de-Seine","isabelle-debre","http://www.senat.fr/senateur/debre_isabelle04081k.html"
"del PICCHIA","Robert","UMP","Union pour un Mouvement Populaire","H","Français établis hors de France","robert-del-picchia","http://www.senat.fr/senateur/del_picchia_robert98018t.html"
"DELAHAYE","Vincent","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Essonne","vincent-delahaye","http://www.senat.fr/senateur/delahaye_vincent11070l.html"
"DELATTRE","Francis","UMP","Union pour un Mouvement Populaire","H","Val-d'Oise","francis-delattre","http://www.senat.fr/senateur/delattre_francis11088w.html"
"DELEBARRE","Michel","SOC","Parti socialiste","H","Nord","michel-delebarre","http://www.senat.fr/senateur/delebarre_michel11035h.html"
"DEMESSINE","Michelle","CRC","Parti communiste Français","F","Nord","michelle-demessine","http://www.senat.fr/senateur/demessine_michelle92018s.html"
"DÉRIOT","Gérard","UMP","Union pour un Mouvement Populaire","H","Allier","gerard-deriot","http://www.senat.fr/senateur/deriot_gerard98024r.html"
"DEROCHE","Catherine","UMP","Union pour un Mouvement Populaire","F","Maine-et-Loire","catherine-deroche","http://www.senat.fr/senateur/deroche_catherine10006l.html"
"DEROMEDI","Jacky","UMP","Union pour un Mouvement Populaire","F","Français établis hors de France","jacky-deromedi","http://www.senat.fr/senateur/deromedi_jacky14041t.html"
"DES ESGAULX","Marie-Hélène","UMP","Union pour un Mouvement Populaire","F","Gironde","marie-helene-des-esgaulx","http://www.senat.fr/senateur/des_esgaulx_marie_helene08022q.html"
"DESESSARD","Jean","Écologiste","Europe Écologie Les Verts","H","Paris","jean-desessard","http://www.senat.fr/senateur/desessard_jean04067m.html"
"DESEYNE","Chantal","UMP","Union pour un Mouvement Populaire","F","Eure-et-Loir","chantal-deseyne","http://www.senat.fr/senateur/deseyne_chantal14217n.html"
"DESPLAN","Félix","SOC","Parti socialiste","H","Guadeloupe","felix-desplan","http://www.senat.fr/senateur/desplan_felix11113e.html"
"DÉTRAIGNE","Yves","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Marne","yves-detraigne","http://www.senat.fr/senateur/detraigne_yves01024m.html"
"DIDIER","Évelyne","CRC","Parti communiste Français","F","Meurthe-et-Moselle","evelyne-didier","http://www.senat.fr/senateur/didier_evelyne01015l.html"
"DI FOLCO","Catherine","UMP","Union pour un Mouvement Populaire","F","Rhône","catherine-di-folco","http://www.senat.fr/senateur/di_folco_catherine14215l.html"
"DILAIN","Claude","SOC","Parti socialiste","H","Seine-Saint-Denis","claude-dilain","http://www.senat.fr/senateur/dilain_claude11051h.html"
"DOINEAU","Elisabeth","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","F","Mayenne","elisabeth-doineau","http://www.senat.fr/senateur/doineau_elisabeth14042u.html"
"DOLIGÉ","Éric","UMP","Union pour un Mouvement Populaire","H","Loiret","eric-dolige","http://www.senat.fr/senateur/dolige_eric01027q.html"
"DOMINATI","Philippe","UMP","Union pour un Mouvement Populaire","H","Paris","philippe-dominati","http://www.senat.fr/senateur/dominati_philippe04071h.html"
"DUBOIS","Daniel","UDI-UC","Association PSLE - Nouveau Centre","H","Somme","daniel-dubois","http://www.senat.fr/senateur/dubois_daniel04089t.html"
"DUBOIS","Vincent","UDI-UC","Tahoeraa Huiraatira","H","Polynésie-française","vincent-dubois","http://www.senat.fr/senateur/dubois_vincent14043v.html"
"DUCHÊNE","Marie-Annick","UMP","Non rattachée","F","Yvelines","marie-annick-duchene","http://www.senat.fr/senateur/duchene_marie_annick11091r.html"
"DUPONT","Jean-Léonce","UDI-UC","Association PSLE - Nouveau Centre","H","Calvados","jean-leonce-dupont","http://www.senat.fr/senateur/dupont_jean_leonce98042t.html"
"DURAIN","Jérôme","SOC","Parti socialiste","H","Saône-et-Loire","jerome-durain","http://www.senat.fr/senateur/durain_jerome14151m.html"
"DURAN","Alain","SOC","Parti socialiste","H","Ariège","alain-duran","http://www.senat.fr/senateur/duran_alain14197c.html"
"DURANTON","Nicole","UMP","Union pour un Mouvement Populaire","F","Eure","nicole-duranton","http://www.senat.fr/senateur/duranton_nicole14249w.html"
"DURRIEU","Josette","SOC","Parti socialiste","F","Hautes-Pyrénées","josette-durrieu","http://www.senat.fr/senateur/durrieu_josette92020l.html"
"DUSSERRE","Jean-Yves","UMP","Union pour un Mouvement Populaire","H","Hautes-Alpes","jean-yves-dusserre","http://www.senat.fr/senateur/dusserre_jean_yves14129p.html"
"DUVERNOIS","Louis","UMP","Union pour un Mouvement Populaire","H","Français établis hors de France","louis-duvernois","http://www.senat.fr/senateur/duvernois_louis01041n.html"
"EBLÉ","Vincent","SOC","Parti socialiste","H","Seine-et-Marne","vincent-eble","http://www.senat.fr/senateur/eble_vincent11074q.html"
"EMERY-DUMAS","Anne","SOC","Parti socialiste","F","Nièvre","anne-emery-dumas","http://www.senat.fr/senateur/emery_dumas_anne12042y.html"
"EMORINE","Jean-Paul","UMP","Union pour un Mouvement Populaire","H","Saône-et-Loire","jean-paul-emorine","http://www.senat.fr/senateur/emorine_jean_paul95030b.html"
"ESNOL","Philippe","RDSE","Parti radical de gauche","H","Yvelines","philippe-esnol","http://www.senat.fr/senateur/esnol_philippe11096w.html"
"ESPAGNAC","Frédérique","SOC","Parti socialiste","F","Pyrénées-Atlantiques","frederique-espagnac","http://www.senat.fr/senateur/espagnac_frederique11110b.html"
"ESTROSI SASSONE","Dominique","UMP","Union pour un Mouvement Populaire","F","Alpes-Maritimes","dominique-estrosi-sassone","http://www.senat.fr/senateur/estrosi_sassone_dominique14187a.html"
"FALCO","Hubert","UMP","Union pour un Mouvement Populaire","H","Var","hubert-falco","http://www.senat.fr/senateur/falco_hubert95031c.html"
"FAVIER","Christian","CRC","Parti communiste Français","H","Val-de-Marne","christian-favier","http://www.senat.fr/senateur/favier_christian11034g.html"
"FÉRAT","Françoise","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","F","Marne","francoise-ferat","http://www.senat.fr/senateur/ferat_francoise01025n.html"
"FILLEUL","Jean-Jacques","SOC","Parti socialiste","H","Indre-et-Loire","jean-jacques-filleul","http://www.senat.fr/senateur/filleul_jean_jacques11107g.html"
"FONTAINE","Michel","UMP","Union pour un Mouvement Populaire","H","Réunion","michel-fontaine","http://www.senat.fr/senateur/fontaine_michel11020a.html"
"FORISSIER","Michel","UMP","Union pour un Mouvement Populaire","H","Rhône","michel-forissier","http://www.senat.fr/senateur/forissier_michel14087w.html"
"FORTASSIN","François","RDSE","Parti radical de gauche","H","Hautes-Pyrénées","francois-fortassin","http://www.senat.fr/senateur/fortassin_francois01003g.html"
"FOUCAUD","Thierry","CRC","Parti communiste Français","H","Seine-Maritime","thierry-foucaud","http://www.senat.fr/senateur/foucaud_thierry98053w.html"
"FOUCHÉ","Alain","UMP","Union pour un Mouvement Populaire","H","Vienne","alain-fouche","http://www.senat.fr/senateur/fouche_alain02002k.html"
"FOURNIER","Bernard","UMP","Union pour un Mouvement Populaire","H","Loire","bernard-fournier","http://www.senat.fr/senateur/fournier_bernard97011g.html"
"FOURNIER","Jean-Paul","UMP","Union pour un Mouvement Populaire","H","Gard","jean-paul-fournier","http://www.senat.fr/senateur/fournier_jean_paul08065c.html"
"FRASSA","Christophe-","UMP","Union pour un Mouvement Populaire","H","Français établis hors de France","christophe-andre-frassa","http://www.senat.fr/senateur/frassa_christophe_andre08018u.html"
"FRÉCON","Jean-Claude","SOC","Parti socialiste","H","Loire","jean-claude-frecon","http://www.senat.fr/senateur/frecon_jean_claude01037s.html"
"FROGIER","Pierre","UMP","Rassemblement UMP (Rassemblement pour la Calédonie dans la République)","H","Nouvelle-Calédonie","pierre-frogier","http://www.senat.fr/senateur/frogier_pierre11010l.html"
"GABOUTY","Jean-Marc","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","H","Haute-Vienne","jean-marc-gabouty","http://www.senat.fr/senateur/gabouty_jean_marc14034u.html"
"GARRIAUD-MAYLAM","Joëlle","UMP","Union pour un Mouvement Populaire","F","Français établis hors de France","joelle-garriaud-maylam","http://www.senat.fr/senateur/garriaud_maylam_joelle04035d.html"
"GATEL","Françoise","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","F","Ille-et-Vilaine","francoise-gatel","http://www.senat.fr/senateur/gatel_francoise14231l.html"
"GATTOLIN","André","Écologiste","Europe Écologie Les Verts","H","Hauts-de-Seine","andre-gattolin","http://www.senat.fr/senateur/gattolin_andre11083r.html"
"GAUDIN","Jean-Claude","UMP","Union pour un Mouvement Populaire","H","Bouches-du-Rhône","jean-claude-gaudin","http://www.senat.fr/senateur/gaudin_jean_claude89029v.html"
"GAUTIER","Jacques","UMP","Union pour un Mouvement Populaire","H","Hauts-de-Seine","jacques-gautier","http://www.senat.fr/senateur/gautier_jacques07024n.html"
"GENEST","Jacques","UMP","Union pour un Mouvement Populaire","H","Ardèche","jacques-genest","http://www.senat.fr/senateur/genest_jacques14199e.html"
"GÉNISSON","Catherine","SOC","Parti socialiste","F","Pas-de-Calais","catherine-genisson","http://www.senat.fr/senateur/genisson_catherine11061k.html"
"GERMAIN","Jean","SOC","Parti socialiste","H","Indre-et-Loire","jean-germain","http://www.senat.fr/senateur/germain_jean11108h.html"
"GHALI","Samia","SOC","Parti socialiste","F","Bouches-du-Rhône","samia-ghali","http://www.senat.fr/senateur/ghali_samia08035v.html"
"GILLES","Bruno","UMP","Union pour un Mouvement Populaire","H","Bouches-du-Rhône","bruno-gilles","http://www.senat.fr/senateur/gilles_bruno08048b.html"
"GILLOT","Dominique","SOC","Parti socialiste","F","Val-d'Oise","dominique-gillot","http://www.senat.fr/senateur/gillot_dominique11089x.html"
"GILLOT","Jacques","SOC","Guadeloupe Unie Socialisme et Réalité","H","Guadeloupe","jacques-gillot","http://www.senat.fr/senateur/gillot_jacques04095r.html"
"GIRAUD","Éliane","SOC","Parti socialiste","F","Isère","eliane-giraud","http://www.senat.fr/senateur/giraud_eliane14014q.html"
"GIUDICELLI","Colette","UMP","Union pour un Mouvement Populaire","F","Alpes-Maritimes","colette-giudicelli","http://www.senat.fr/senateur/giudicelli_colette08041t.html"
"GODEFROY","Jean-Pierre","SOC","Parti socialiste","H","Manche","jean-pierre-godefroy","http://www.senat.fr/senateur/godefroy_jean_pierre01011g.html"
"GONTHIER-MAURIN","Brigitte","CRC","Parti communiste Français","F","Hauts-de-Seine","brigitte-gonthier-maurin","http://www.senat.fr/senateur/gonthier_maurin_brigitte07026q.html"
"GORCE","Gaëtan","SOC","Parti socialiste","H","Nièvre","gaetan-gorce","http://www.senat.fr/senateur/gorce_gaetan11015d.html"
"GOULET","Nathalie","UDI-UC","Le Centre pour la France","F","Orne","nathalie-goulet","http://www.senat.fr/senateur/goulet_nathalie07004j.html"
"GOURAULT","Jacqueline","UDI-UC","Le Centre pour la France","F","Loir-et-Cher","jacqueline-gourault","http://www.senat.fr/senateur/gourault_jacqueline01007l.html"
"GOURNAC","Alain","UMP","Union pour un Mouvement Populaire","H","Yvelines","alain-gournac","http://www.senat.fr/senateur/gournac_alain95035g.html"
"GOY-CHAVENT","Sylvie","UDI-UC","Union des Radicaux, Centristes, Indépendants et Démocrates","F","Ain","sylvie-goy-chavent","http://www.senat.fr/senateur/goy_chavent_sylvie08056b.html"
"GRAND","Jean-Pierre","UMP","Union pour un Mouvement Populaire","H","Hérault","jean-pierre-grand","http://www.senat.fr/senateur/grand_jean_pierre14211g.html"
"GREMILLET","Daniel","UMP","Union pour un Mouvement Populaire","H","Vosges","daniel-gremillet","http://www.senat.fr/senateur/gremillet_daniel14033t.html"
"GROSDIDIER","François","UMP","Union pour un Mouvement Populaire","H","Moselle","francois-grosdidier","http://www.senat.fr/senateur/grosdidier_francois11049p.html"
"GROSPERRIN","Jacques","UMP","Union pour un Mouvement Populaire","H","Doubs","jacques-grosperrin","http://www.senat.fr/senateur/grosperrin_jacques14123h.html"
"GRUNY","Pascale","UMP","Union pour un Mouvement Populaire","F","Aisne","pascale-gruny","http://www.senat.fr/senateur/gruny_pascale14026u.html"
"GUENÉ","Charles","UMP","Union pour un Mouvement Populaire","H","Haute-Marne","charles-guene","http://www.senat.fr/senateur/guene_charles01057w.html"
"GUÉRINI","Jean-Noël","Non inscrit","Parti radical de gauche","H","Bouches-du-Rhône","jean-noel-guerini","http://www.senat.fr/senateur/guerini_jean_noel98022p.html"
"GUERRIAU","Joël","UDI-UC","Association PSLE - Nouveau Centre","H","Loire-Atlantique","joel-guerriau","http://www.senat.fr/senateur/guerriau_joel11064n.html"
"GUILLAUME","Didier","SOC","Parti socialiste","H","Drôme","didier-guillaume","http://www.senat.fr/senateur/guillaume_didier08016s.html"
"GUILLEMOT","Annie","SOC","Parti socialiste","F","Rhône","annie-guillemot","http://www.senat.fr/senateur/guillemot_annie14081q.html"
"HAUT","Claude","SOC","Parti socialiste","H","Vaucluse","claude-haut","http://www.senat.fr/senateur/haut_claude95037j.html"
"HERVÉ","Loïc","UDI-UC","Association PSLE - Nouveau Centre","H","Haute-Savoie","loic-herve","http://www.senat.fr/senateur/herve_loic14179a.html"
"HERVIAUX","Odette","SOC","Parti socialiste","F","Morbihan","odette-herviaux","http://www.senat.fr/senateur/herviaux_odette01022k.html"
"HOUEL","Michel","UMP","Union pour un Mouvement Populaire","H","Seine-et-Marne","michel-houel","http://www.senat.fr/senateur/houel_michel04048j.html"
"HOUPERT","Alain","UMP","Union pour un Mouvement Populaire","H","Côte-d'Or","alain-houpert","http://www.senat.fr/senateur/houpert_alain08069g.html"
